%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213719, 2020/01/8 10:45:53.20)
1 9  4.282372909430138022e+07 0 0 2.196335e-01 2.976811e+00 4.713792e-02 -7.269030e-02 
2 17  4.105182511224973947e+06 0 0 2.053418e-01 5.263446e+00 -7.866769e-01 1.750902e+00 
3 25  2.055662960708463099e+06 0 0 2.567218e-01 7.471612e+00 -1.085147e+00 4.422580e+00 
4 33  1.162755745622095885e+06 0 0 1.386059e-01 1.013323e+01 -4.986120e-01 3.761276e-01 
5 41  1.389503086519502103e+06 0 0 1.967521e-01 9.207269e+00 -7.615703e-02 1.088888e+00 
6 49  2.031659969735344173e+06 0 0 5.649544e-02 7.717341e+00 -8.063000e-01 5.280455e-02 
7 57  1.664209217360109556e+06 0 0 3.426729e-01 8.245311e+00 -4.363219e-01 1.730921e-01 
8 65  1.164148115473208949e+06 0 0 2.570956e-01 1.000859e+01 -1.003269e+00 4.701314e-01 
9 73  9.221904745653084246e+05 0 0 2.184672e-01 1.131516e+01 -1.355285e-01 7.476080e-01 
10 81  2.518380026176955551e+06 0 0 1.863052e-01 1.392922e+01 1.209384e-01 -6.493786e-01 
11 89  6.463374894119622186e+05 0 0 2.211607e-01 1.356679e+01 -2.405373e-02 1.792853e-01 
12 97  5.876078601740387967e+05 0 0 1.022399e-01 1.435219e+01 -3.403040e-01 1.017319e+00 
13 105  5.151710280430856510e+05 0 0 2.369152e-01 1.521047e+01 -3.072489e-01 1.600602e+00 
14 113  8.347543536655033240e+05 0 0 3.528741e-01 1.177575e+01 -1.304082e-01 3.457470e-01 
15 121  5.725394939585145330e+05 0 0 2.919623e-01 1.435762e+01 -6.292954e-01 1.045998e+00 
16 129  6.763981632476003142e+05 0 0 1.318448e-01 1.334723e+01 -1.595991e-01 4.014961e-01 
17 137  9.536724609524545958e+05 0 0 1.606598e-01 1.118092e+01 -6.766543e-02 3.948128e-01 
18 145  1.143594123177740490e+06 0 0 7.056540e-02 1.028691e+01 -1.565928e-01 1.810062e-01 
19 153  3.603469499370456673e+06 0 0 1.000455e-01 1.175521e+01 -1.265433e-01 -1.505457e-01 
20 161  8.000151894986809930e+05 0 0 9.419708e-02 1.229307e+01 -3.574605e-01 5.308291e-01 
21 169  8.036328387897758512e+05 0 0 1.339784e-01 1.223433e+01 -3.169842e-01 5.210446e-01 
22 177  7.832809935163367772e+05 0 0 6.109327e-02 1.245869e+01 -1.275454e-01 3.389216e-01 
23 185  1.089445144605183275e+06 0 0 9.135419e-02 1.052027e+01 -1.101141e-01 7.626795e-01 
24 193  9.546237645985911367e+05 0 0 8.163789e-02 1.125428e+01 -6.728741e-02 5.481823e-01 
25 201  7.503205204784987727e+05 0 0 8.618136e-02 1.271481e+01 -3.445130e-02 4.050948e-01 
26 209  7.047850594630626729e+05 0 0 8.304835e-02 1.312133e+01 -1.405131e-02 6.210812e-01 
27 217  6.980770887416698970e+05 0 0 1.191556e-01 1.314855e+01 -6.507224e-02 4.094482e-01 
28 225  7.066785344613707857e+05 0 0 9.829482e-02 1.308837e+01 -4.102214e-03 1.948721e-01 
29 233  6.845381578846080229e+05 0 0 5.446993e-02 1.334424e+01 -2.458714e-02 2.080904e-01 
30 241  6.274231980597804068e+05 0 0 1.234520e-01 1.387126e+01 -6.461852e-02 3.118362e-01 
31 249  5.573905050459919730e+05 0 0 3.143890e-02 1.481624e+01 -6.157966e-02 5.778652e-01 
32 257  6.437511231361627579e+05 0 0 5.312103e-02 1.376256e+01 -1.883670e-02 8.979738e-01 
33 265  6.442525805478955153e+05 0 0 7.494910e-02 1.373534e+01 -1.156974e-01 4.601030e-01 
34 273  6.295316696113601793e+05 0 0 1.182849e-01 1.385292e+01 -1.163128e-01 4.680665e-01 
35 281  6.283075522879236378e+05 0 0 1.306008e-01 1.385424e+01 -4.476688e-02 8.766839e-01 
36 289  6.335723479080267716e+05 0 0 9.241785e-02 1.383405e+01 -8.759598e-02 7.409667e-01 
37 297  6.382120351170742651e+05 0 0 1.092049e-01 1.376644e+01 -4.103532e-03 9.507158e-01 
38 305  6.393967960020944010e+05 0 0 1.421881e-01 1.372056e+01 -3.444739e-02 6.929456e-01 
39 313  6.142741597615078790e+05 0 0 1.378749e-01 1.399797e+01 -1.029448e-02 8.944214e-01 
40 321  5.789398519183864119e+05 0 0 1.561113e-01 1.442093e+01 -7.915172e-03 9.639157e-01 
41 329  5.684334407193120569e+05 0 0 1.003018e-01 1.460218e+01 -3.759289e-02 6.638957e-01 
42 337  5.644012410292015411e+05 0 0 1.199176e-01 1.463509e+01 -2.849137e-02 1.148908e+00 
43 345  5.600637028497570427e+05 0 0 1.301402e-01 1.468200e+01 -1.241122e-04 1.121898e+00 
44 353  5.576882191586006666e+05 0 0 1.290986e-01 1.471461e+01 -2.203197e-02 9.337263e-01 
45 361  5.306033299975862028e+05 0 0 1.640303e-01 1.505461e+01 -2.631465e-02 1.167724e+00 
46 369  5.397994467950316612e+05 0 0 1.350845e-01 1.495403e+01 -1.366345e-02 1.147985e+00 
47 377  5.431766592457819497e+05 0 0 1.362077e-01 1.490484e+01 -1.874203e-02 1.092087e+00 
48 385  5.320629586572258268e+05 0 0 1.460785e-01 1.505162e+01 -1.784965e-02 1.159334e+00 
49 393  5.139043417191464687e+05 0 0 1.791823e-01 1.528730e+01 -1.712655e-02 1.326781e+00 
50 401  4.998491782679236494e+05 0 0 1.966588e-01 1.548586e+01 -2.207058e-02 1.442391e+00 
51 409  4.898933097264413955e+05 0 0 1.550063e-01 1.568778e+01 -4.807545e-03 1.351609e+00 
52 417  4.715162601351871272e+05 0 0 1.654299e-01 1.598468e+01 -1.050719e-02 1.300671e+00 
53 425  4.693420416715451283e+05 0 0 1.678200e-01 1.601985e+01 -1.339791e-02 1.292546e+00 
