%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=213719, 2020/01/8 10:45:53.20)
1 9 3.045940e+00 2.509753e+01  4.282372909430138022e+07  4.282372909430138022e+07  2.979482094672580957e+08  4.200440206673793197e+08
2 17 3.705501e+00 2.445919e+01  4.105182511224973947e+06  4.105182511224973947e+06  3.246440513948665261e+08  4.456723540342506170e+08
3 25 3.685802e+00 2.443888e+01  2.055662960708463099e+06  2.055662960708463099e+06  1.104327334591547772e+07  2.064548484888572991e+08
4 33 3.336119e+00 2.430440e+01  1.162755745622095885e+06  1.162755745622095885e+06  1.630610389258522540e+07  1.837715213740957081e+08
5 41 3.116524e+00 2.436026e+01  1.162755745622095885e+06  1.389503086519502103e+06  1.141041271591697782e+08  3.719075957430186272e+08
6 49 2.835488e+00 2.331947e+01  1.162755745622095885e+06  2.031659969735344173e+06  7.152412785937922075e+06  3.709915811203687787e+08
7 57 2.816782e+00 1.964181e+01  1.162755745622095885e+06  1.664209217360109556e+06  4.956551524831665680e+06  2.450287291520321071e+08
8 65 3.001181e+00 1.991331e+01  1.162755745622095885e+06  1.164148115473208949e+06  8.313293296914387494e+06  3.459670737883805037e+08
9 73 2.951000e+00 2.098317e+01  9.221904745653084246e+05  9.221904745653084246e+05  3.834683221797027159e+06  1.212538850980147161e+07
10 81 2.628492e+00 2.170604e+01  9.221904745653084246e+05  2.518380026176955551e+06  7.620551931489282846e+07  3.077492202946830392e+08
11 89 2.363104e+00 2.289471e+01  6.463374894119622186e+05  6.463374894119622186e+05  3.789884237438257784e+06  2.148091113370076120e+08
12 97 2.139006e+00 2.330429e+01  5.876078601740387967e+05  5.876078601740387967e+05  2.972552271145842038e+06  3.191834154600967169e+08
13 105 1.948978e+00 2.259817e+01  5.151710280430856510e+05  5.151710280430856510e+05  9.260933113259079400e+05  1.964538791200256646e+08
14 113 2.016382e+00 2.008100e+01  5.151710280430856510e+05  8.347543536655033240e+05  2.684650006597765256e+06  1.784689741142369211e+08
15 121 1.814112e+00 1.785895e+01  5.151710280430856510e+05  5.725394939585145330e+05  7.327574481649322808e+07  2.306165254625484347e+08
16 129 1.925268e+00 1.611444e+01  5.151710280430856510e+05  6.763981632476003142e+05  3.981634527997646481e+06  2.825862921212040186e+08
17 137 1.786925e+00 1.579207e+01  5.151710280430856510e+05  9.536724609524545958e+05  3.805049484645583667e+06  2.938932043215094209e+08
18 145 1.915759e+00 1.415968e+01  5.151710280430856510e+05  1.143594123177740490e+06  1.342190069912753701e+08  3.713564765033264160e+08
19 153 1.880088e+00 1.323786e+01  5.151710280430856510e+05  3.603469499370456673e+06  5.013558503677317873e+06  3.589399805980802178e+08
20 161 1.689561e+00 1.321070e+01  5.151710280430856510e+05  8.000151894986809930e+05  4.157530771856346168e+06  3.728692160368513465e+08
21 169 1.568616e+00 1.388760e+01  5.151710280430856510e+05  8.036328387897758512e+05  2.226298408279195428e+06  3.738757931173175573e+08
22 177 1.447029e+00 1.458389e+01  5.151710280430856510e+05  7.832809935163367772e+05  2.642463247157237493e+06  5.120119895181943662e+06
23 185 1.234634e+00 1.502082e+01  5.151710280430856510e+05  1.089445144605183275e+06  1.620834958435625434e+08  3.738862441527041793e+08
24 193 1.129584e+00 1.451906e+01  5.151710280430856510e+05  9.546237645985911367e+05  1.683798510582477748e+08  3.715339046030719876e+08
25 201 1.257527e+00 1.849714e+01  5.151710280430856510e+05  7.503205204784987727e+05  9.750708670862291474e+05  1.297030312396475114e+06
26 209 1.320898e+00 2.082091e+01  5.151710280430856510e+05  7.047850594630626729e+05  9.059950907793253427e+05  3.450074129660592675e+08
